"c","Year","Sales"
"Belgium",2030,448869
"Belgium",2031,443492
"Belgium",2032,438114
"Belgium",2033,432737
"Belgium",2034,427359
"Belgium",2035,421982
"Belgium",2036,416605
"Belgium",2037,411227
"Belgium",2038,405850
"Belgium",2039,400472
"Belgium",2040,395095
"Belgium",2041,389717
"Belgium",2042,384340
"Belgium",2043,378963
"Belgium",2044,373585
"Belgium",2045,368208
"Belgium",2046,362830
"Belgium",2047,357453
"Belgium",2048,352075
"Belgium",2049,346698
"Belgium",2050,341321
"Bolivia",2015,0
"Bolivia",2016,0
"Bolivia",2017,0
"Bolivia",2018,0
"Bolivia",2019,0
"Bolivia",2020,0
"Bolivia",2021,0
"Bolivia",2022,53
"Bolivia",2023,112
"Bolivia",2024,2913
"Bolivia",2025,3714
"Bolivia",2026,4447
"Bolivia",2027,5547
"Bolivia",2028,8029
"Bolivia",2029,12718
"Bolivia",2030,20772
"Bolivia",2031,25816
"Bolivia",2032,31540
"Bolivia",2033,37983
"Bolivia",2034,43671
"Bolivia",2035,50367
"Bolivia",2036,57163
"Bolivia",2037,64120
"Bolivia",2038,71323
"Bolivia",2039,78557
"Bolivia",2040,86352
"Bolivia",2041,87941
"Bolivia",2042,89541
"Bolivia",2043,91150
"Bolivia",2044,92762
"Bolivia",2045,94398
"Bolivia",2046,95665
"Bolivia",2047,96933
"Bolivia",2048,98200
"Bolivia",2049,99468
"Bolivia",2050,100735
"Brazil",2015,0
"Brazil",2016,28
"Brazil",2017,76
"Brazil",2018,75
"Brazil",2019,97
"Brazil",2020,694
"Brazil",2021,2209
"Brazil",2022,9160
"Brazil",2023,19438
"Brazil",2024,93374
"Brazil",2025,107812
"Brazil",2026,124328
"Brazil",2027,143637
"Brazil",2028,234199
"Brazil",2029,387754
"Brazil",2030,641161
"Brazil",2031,791242
"Brazil",2032,948608
"Brazil",2033,1113256
"Brazil",2034,1285188
"Brazil",2035,1464403
"Brazil",2036,1600874
"Brazil",2037,1742201
"Brazil",2038,1888383
"Brazil",2039,2039421
"Brazil",2040,2195314
"Brazil",2041,2356063
"Brazil",2042,2521667
"Brazil",2043,2692127
"Brazil",2044,2867442
"Brazil",2045,3047613
"Brazil",2046,3108307
"Brazil",2047,3169001
"Brazil",2048,3229695
"Brazil",2049,3290389
"Brazil",2050,3351083
"Canada",2015,4553
"Canada",2016,5182
"Canada",2017,9666
"Canada",2018,21307
"Canada",2019,32402
"Canada",2020,34806
"Canada",2021,58726
"Canada",2022,98574
"Canada",2023,143201
"Canada",2024,174808
"Canada",2025,214543
"Canada",2026,328243
"Canada",2027,468772
"Canada",2028,669225
"Canada",2029,954469
"Canada",2030,1358421
"Canada",2031,1451058
"Canada",2032,1541739
"Canada",2033,1645233
"Canada",2034,1732922
"Canada",2035,1820054
"Canada",2036,1817662
"Canada",2037,1818068
"Canada",2038,1820056
"Canada",2039,1820539
"Canada",2040,1819733
"Canada",2041,1823206
"Canada",2042,1829009
"Canada",2043,1828302
"Canada",2044,1831465
"Canada",2045,1841176
"Canada",2046,1844977
"Canada",2047,1847991
"Canada",2048,1850427
"Canada",2049,1849032
"Canada",2050,1846613
"Chile",2015,0
"Chile",2016,1
"Chile",2017,45
"Chile",2018,65
"Chile",2019,161
"Chile",2020,167
"Chile",2021,555
"Chile",2022,1214
"Chile",2023,1538
"Chile",2024,14889
"Chile",2025,30299
"Chile",2026,43998
"Chile",2027,58127
"Chile",2028,79487
"Chile",2029,92284
"Chile",2030,112456
"Chile",2031,123685
"Chile",2032,135199
"Chile",2033,147000
"Chile",2034,172552
"Chile",2035,252145
"Chile",2036,255718
"Chile",2037,259291
"Chile",2038,262863
"Chile",2039,266436
"Chile",2040,270008
"Chile",2041,273581
"Chile",2042,277153
"Chile",2043,280726
"Chile",2044,284299
"Chile",2045,287871
"Chile",2046,291444
"Chile",2047,295016
"Chile",2048,298589
"Chile",2049,302161
"Chile",2050,305734
"China",2015,127757
"China",2016,286537
"China",2017,536950
"China",2018,886780
"China",2019,973245
"China",2020,1103512
"China",2021,2795045
"China",2022,4699814
"China",2023,5760512
"China",2024,6501947
"China",2025,8568304
"China",2026,10440209
"China",2027,12374071
"China",2028,14374531
"China",2029,16439291
"China",2030,18565878
"China",2031,20118011
"China",2032,21709818
"China",2033,23343770
"China",2034,25022512
"China",2035,26740797
"China",2036,27171334
"China",2037,27601871
"China",2038,28032408
"China",2039,28462945
"China",2040,28893482
"China",2041,29324019
"China",2042,29754556
"China",2043,30185093
"China",2044,30615630
"China",2045,31046167
"China",2046,31476704
"China",2047,31907241
"China",2048,32337778
"China",2049,32768315
"China",2050,33198852
"Colombia",2015,193
"Colombia",2016,198
"Colombia",2017,136
"Colombia",2018,389
"Colombia",2019,960
"Colombia",2020,822
"Colombia",2021,952
"Colombia",2022,2081
"Colombia",2023,3709
"Colombia",2024,10579
"Colombia",2025,12713
"Colombia",2026,15200
"Colombia",2027,18076
"Colombia",2028,25335
"Colombia",2029,37075
"Colombia",2030,54044
"Colombia",2031,78456
"Colombia",2032,113485
"Colombia",2033,163707
"Colombia",2034,235474
"Colombia",2035,337897
"Colombia",2036,353870
"Colombia",2037,369843
"Colombia",2038,385815
"Colombia",2039,401788
"Colombia",2040,417761
"Colombia",2041,433734
"Colombia",2042,449707
"Colombia",2043,465680
"Colombia",2044,481653
"Colombia",2045,497626
"Colombia",2046,513598
"Colombia",2047,529571
"Colombia",2048,545544
"Colombia",2049,561517
"Colombia",2050,577490
"Czechia",2015,331
"Czechia",2016,221
"Czechia",2017,403
"Czechia",2018,762
"Czechia",2019,817
"Czechia",2020,3309
"Czechia",2021,2813
"Czechia",2022,4066
"Czechia",2023,7888
"Czechia",2024,58810
"Czechia",2025,109608
"Czechia",2026,145775
"Czechia",2027,191711
"Czechia",2028,238387
"Czechia",2029,284958
"Czechia",2030,335625
"Czechia",2031,351892
"Czechia",2032,367535
"Czechia",2033,383455
"Czechia",2034,400295
"Czechia",2035,418705
"Czechia",2036,436668
"Czechia",2037,456314
"Czechia",2038,477089
"Czechia",2039,500116
"Czechia",2040,528578
"Czechia",2041,541145
"Czechia",2042,553723
"Czechia",2043,566332
"Czechia",2044,578952
"Czechia",2045,591687
"Czechia",2046,604210
"Czechia",2047,616733
"Czechia",2048,629256
"Czechia",2049,641780
"Czechia",2050,654304
"Denmark",2015,4639
"Denmark",2016,1280
"Denmark",2017,802
"Denmark",2018,1613
"Denmark",2019,5728
"Denmark",2020,15241
"Denmark",2021,26265
"Denmark",2022,32652
"Denmark",2023,65556
"Denmark",2024,99212
"Denmark",2025,136657
"Denmark",2026,152617
"Denmark",2027,161579
"Denmark",2028,163743
"Denmark",2029,165940
"Denmark",2030,180399
"Denmark",2031,181385
"Denmark",2032,182371
"Denmark",2033,183356
"Denmark",2034,184342
"Denmark",2035,185328
"Denmark",2036,186313
"Denmark",2037,187299
"Denmark",2038,188285
"Denmark",2039,189270
"Denmark",2040,190256
"Denmark",2041,191242
"Denmark",2042,192227
"Denmark",2043,193213
"Denmark",2044,194199
"Denmark",2045,195184
"Denmark",2046,196170
"Denmark",2047,197156
"Denmark",2048,198141
"Denmark",2049,199127
"Denmark",2050,200113
"Eastern Europe/Central Asia",2015,245
"Eastern Europe/Central Asia",2016,288
"Eastern Europe/Central Asia",2017,623
"Eastern Europe/Central Asia",2018,1209
"Eastern Europe/Central Asia",2019,835
"Eastern Europe/Central Asia",2020,906
"Eastern Europe/Central Asia",2021,1598
"Eastern Europe/Central Asia",2022,1330
"Eastern Europe/Central Asia",2023,5352
"Eastern Europe/Central Asia",2024,50077
"Eastern Europe/Central Asia",2025,63485
"Eastern Europe/Central Asia",2026,76265
"Eastern Europe/Central Asia",2027,96116
"Eastern Europe/Central Asia",2028,129409
"Eastern Europe/Central Asia",2029,201819
"Eastern Europe/Central Asia",2030,334114
"Eastern Europe/Central Asia",2031,419836
"Eastern Europe/Central Asia",2032,512267
"Eastern Europe/Central Asia",2033,613560
"Eastern Europe/Central Asia",2034,719665
"Eastern Europe/Central Asia",2035,833119
"Eastern Europe/Central Asia",2036,973248
"Eastern Europe/Central Asia",2037,1123744
"Eastern Europe/Central Asia",2038,1283977
"Eastern Europe/Central Asia",2039,1450761
"Eastern Europe/Central Asia",2040,1627870
"Eastern Europe/Central Asia",2041,1696998
"Eastern Europe/Central Asia",2042,1767862
"Eastern Europe/Central Asia",2043,1841342
"Eastern Europe/Central Asia",2044,1918147
"Eastern Europe/Central Asia",2045,2005278
"Eastern Europe/Central Asia",2046,2077058
"Eastern Europe/Central Asia",2047,2150617
"Eastern Europe/Central Asia",2048,2226474
"Eastern Europe/Central Asia",2049,2303431
"Eastern Europe/Central Asia",2050,2385662
"Egypt",2015,0
"Egypt",2016,0
"Egypt",2017,0
"Egypt",2018,4
"Egypt",2019,7
"Egypt",2020,21
"Egypt",2021,68
"Egypt",2022,38
"Egypt",2023,83
"Egypt",2024,19511
"Egypt",2025,23895
"Egypt",2026,29095
"Egypt",2027,35191
"Egypt",2028,42319
"Egypt",2029,82250
"Egypt",2030,195179
"Egypt",2031,245908
"Egypt",2032,300534
"Egypt",2033,359058
"Egypt",2034,421480
"Egypt",2035,487799
"Egypt",2036,574925
"Egypt",2037,667248
"Egypt",2038,764768
"Egypt",2039,867485
"Egypt",2040,975398
"Egypt",2041,1007878
"Egypt",2042,1040359
"Egypt",2043,1072839
"Egypt",2044,1105319
"Egypt",2045,1137799
"Egypt",2046,1170279
"Egypt",2047,1202759
"Egypt",2048,1235239
"Egypt",2049,1267719
"Egypt",2050,1300199
"Ethiopia",2015,0
"Ethiopia",2016,0
"Ethiopia",2017,0
"Ethiopia",2018,0
"Ethiopia",2019,0
"Ethiopia",2020,0
"Ethiopia",2021,85
"Ethiopia",2022,290
"Ethiopia",2023,481
"Ethiopia",2024,2648
"Ethiopia",2025,3834
"Ethiopia",2026,5274
"Ethiopia",2027,6807
"Ethiopia",2028,8410
"Ethiopia",2029,11208
"Ethiopia",2030,18375
"Ethiopia",2031,22528
"Ethiopia",2032,26926
"Ethiopia",2033,31591
"Ethiopia",2034,36379
"Ethiopia",2035,41461
"Ethiopia",2036,47772
"Ethiopia",2037,54685
"Ethiopia",2038,62083
"Ethiopia",2039,69241
"Ethiopia",2040,76805
"Ethiopia",2041,79820
"Ethiopia",2042,83808
"Ethiopia",2043,88171
"Ethiopia",2044,92862
"Ethiopia",2045,98016
"Ethiopia",2046,102883
"Ethiopia",2047,107801
"Ethiopia",2048,113085
"Ethiopia",2049,119101
"Ethiopia",2050,125726
"Finland",2015,243
"Finland",2016,234
"Finland",2017,566
"Finland",2018,883
"Finland",2019,1957
"Finland",2020,4279
"Finland",2021,10312
"Finland",2022,15212
"Finland",2023,31152
"Finland",2024,50693
"Finland",2025,72005
"Finland",2026,82243
"Finland",2027,89207
"Finland",2028,96291
"Finland",2029,101612
"Finland",2030,122037
"Finland",2031,126307
"Finland",2032,130655
"Finland",2033,136779
"Finland",2034,140061
"Finland",2035,143356
"Finland",2036,146687
"Finland",2037,150016
"Finland",2038,153442
"Finland",2039,156635
"Finland",2040,159828
"Finland",2041,163021
"Finland",2042,166215
"Finland",2043,169408
"Finland",2044,172601
"Finland",2045,175793
"Finland",2046,178986
"Finland",2047,182177
"Finland",2048,185370
"Finland",2049,188562
"Finland",2050,191755
"France",2015,21949
"France",2016,27743
"France",2017,32120
"France",2018,40141
"France",2019,50765
"France",2020,122552
"France",2021,182173
"France",2022,229037
"France",2023,336735
"France",2024,559225
"France",2025,801571
"France",2026,1076007
"France",2027,1368856
"France",2028,1677515
"France",2029,1994335
"France",2030,2339911
"France",2031,2416187
"France",2032,2492859
"France",2033,2572000
"France",2034,2634813
"France",2035,2697647
"France",2036,2760543
"France",2037,2823434
"France",2038,2886492
"France",2039,2949156
"France",2040,3011820
"France",2041,3074483
"France",2042,3137147
"France",2043,3199812
"France",2044,3262475
"France",2045,3325138
"France",2046,3387801
"France",2047,3450465
"France",2048,3513128
"France",2049,3575791
"France",2050,3638454
"Germany",2015,14147
"Germany",2016,15969
"Germany",2017,30685
"Germany",2018,42769
"Germany",2019,68402
"Germany",2020,200398
"Germany",2021,367467
"Germany",2022,482075
"Germany",2023,540177
"Germany",2024,836545
"Germany",2025,1210945
"Germany",2026,1579623
"Germany",2027,1936806
"Germany",2028,2295408
"Germany",2029,2655428
"Germany",2030,3033552
"Germany",2031,3039595
"Germany",2032,3045638
"Germany",2033,3051681
"Germany",2034,3057724
"Germany",2035,3063767
"Germany",2036,3069810
"Germany",2037,3075853
"Germany",2038,3081896
"Germany",2039,3087939
"Germany",2040,3093982
"Germany",2041,3100025
"Germany",2042,3106068
"Germany",2043,3112111
"Germany",2044,3118154
"Germany",2045,3124198
"Germany",2046,3130241
"Germany",2047,3136284
"Germany",2048,3142327
"Germany",2049,3148370
"Germany",2050,3154413
"Greece",2015,34
"Greece",2016,41
"Greece",2017,43
"Greece",2018,79
"Greece",2019,201
"Greece",2020,687
"Greece",2021,2211
"Greece",2022,3150
"Greece",2023,7232
"Greece",2024,46000
"Greece",2025,78812
"Greece",2026,104341
"Greece",2027,150598
"Greece",2028,197024
"Greece",2029,237630
"Greece",2030,276623
"Greece",2031,298630
"Greece",2032,320901
"Greece",2033,345266
"Greece",2034,347678
"Greece",2035,350104
"Greece",2036,352580
"Greece",2037,355042
"Greece",2038,357636
"Greece",2039,359899
"Greece",2040,362163
"Greece",2041,364427
"Greece",2042,366691
"Greece",2043,368954
"Greece",2044,371216
"Greece",2045,373478
"Greece",2046,375741
"Greece",2047,378002
"Greece",2048,380265
"Greece",2049,382527
"Greece",2050,384789
"Hungary",2015,220
"Hungary",2016,286
"Hungary",2017,833
"Hungary",2018,1426
"Hungary",2019,1899
"Hungary",2020,3106
"Hungary",2021,4588
"Hungary",2022,5237
"Hungary",2023,6786
"Hungary",2024,33384
"Hungary",2025,58651
"Hungary",2026,79549
"Hungary",2027,108572
"Hungary",2028,141110
"Hungary",2029,174809
"Hungary",2030,210613
"Hungary",2031,229630
"Hungary",2032,247928
"Hungary",2033,267059
"Hungary",2034,288672
"Hungary",2035,298878
"Hungary",2036,309088
"Hungary",2037,319305
"Hungary",2038,329522
"Hungary",2039,339759
"Hungary",2040,349947
"Hungary",2041,360137
"Hungary",2042,370326
"Hungary",2043,380515
"Hungary",2044,390704
"Hungary",2045,400893
"Hungary",2046,411082
"Hungary",2047,421271
"Hungary",2048,431460
"Hungary",2049,441649
"Hungary",2050,451837
"India",2015,375
"India",2016,963
"India",2017,2340
"India",2018,1797
"India",2019,792
"India",2020,4099
"India",2021,15302
"India",2022,49609
"India",2023,83086
"India",2024,237072
"India",2025,649632
"India",2026,849040
"India",2027,1128503
"India",2028,1499612
"India",2029,1990945
"India",2030,2642787
"India",2031,2990392
"India",2032,3353147
"India",2033,3731053
"India",2034,4124108
"India",2035,4532314
"India",2036,4749184
"India",2037,4971104
"India",2038,5198074
"India",2039,5430094
"India",2040,5667164
"India",2041,5793416
"India",2042,5919668
"India",2043,6045920
"India",2044,6172172
"India",2045,6298424
"India",2046,6424676
"India",2047,6550928
"India",2048,6677180
"India",2049,6803432
"India",2050,6929684
"Indonesia",2015,0
"Indonesia",2016,0
"Indonesia",2017,16
"Indonesia",2018,14
"Indonesia",2019,102
"Indonesia",2020,232
"Indonesia",2021,821
"Indonesia",2022,10571
"Indonesia",2023,17116
"Indonesia",2024,53181
"Indonesia",2025,72445
"Indonesia",2026,97756
"Indonesia",2027,140327
"Indonesia",2028,234632
"Indonesia",2029,390776
"Indonesia",2030,648482
"Indonesia",2031,749982
"Indonesia",2032,858296
"Indonesia",2033,973700
"Indonesia",2034,1096060
"Indonesia",2035,1225212
"Indonesia",2036,1361476
"Indonesia",2037,1504518
"Indonesia",2038,1654685
"Indonesia",2039,1811617
"Indonesia",2040,1975688
"Indonesia",2041,2047332
"Indonesia",2042,2118976
"Indonesia",2043,2190620
"Indonesia",2044,2262264
"Indonesia",2045,2333908
"Indonesia",2046,2405552
"Indonesia",2047,2477196
"Indonesia",2048,2548840
"Indonesia",2049,2620484
"Indonesia",2050,2692128
"Iran",2015,0
"Iran",2016,0
"Iran",2017,0
"Iran",2018,0
"Iran",2019,0
"Iran",2020,0
"Iran",2021,0
"Iran",2022,0
"Iran",2023,0
"Iran",2024,39722
"Iran",2025,47154
"Iran",2026,55855
"Iran",2027,65930
"Iran",2028,98395
"Iran",2029,179656
"Iran",2030,327512
"Iran",2031,408593
"Iran",2032,494867
"Iran",2033,586333
"Iran",2034,682993
"Iran",2035,784845
"Iran",2036,918917
"Iran",2037,1059913
"Iran",2038,1207832
"Iran",2039,1362676
"Iran",2040,1524443
"Iran",2041,1567716
"Iran",2042,1610990
"Iran",2043,1654264
"Iran",2044,1697537
"Iran",2045,1740811
"Iran",2046,1784084
"Iran",2047,1827358
"Iran",2048,1870631
"Iran",2049,1913905
"Iran",2050,1957178
"Ireland",2015,514
"Ireland",2016,429
"Ireland",2017,640
"Ireland",2018,1332
"Ireland",2019,3790
"Ireland",2020,4740
"Ireland",2021,9362
"Ireland",2022,16386
"Ireland",2023,23820
"Ireland",2024,39485
"Ireland",2025,55702
"Ireland",2026,72906
"Ireland",2027,91743
"Ireland",2028,111062
"Ireland",2029,131959
"Ireland",2030,153325
"Ireland",2031,158834
"Ireland",2032,164507
"Ireland",2033,170263
"Ireland",2034,173580
"Ireland",2035,176916
"Ireland",2036,180259
"Ireland",2037,183609
"Ireland",2038,186964
"Ireland",2039,190205
"Ireland",2040,193448
"Ireland",2041,196693
"Ireland",2042,199940
"Ireland",2043,203189
"Ireland",2044,206371
"Ireland",2045,209553
"Ireland",2046,212736
"Ireland",2047,215919
"Ireland",2048,219101
"Ireland",2049,222284
"Ireland",2050,225465
"Israel",2015,3
"Israel",2016,5
"Israel",2017,126
"Israel",2018,130
"Israel",2019,851
"Israel",2020,1590
"Israel",2021,11504
"Israel",2022,27239
"Israel",2023,48659
"Israel",2024,62472
"Israel",2025,80373
"Israel",2026,103346
"Israel",2027,132889
"Israel",2028,170820
"Israel",2029,225563
"Israel",2030,282152
"Israel",2031,285849
"Israel",2032,289545
"Israel",2033,293241
"Israel",2034,296938
"Israel",2035,300634
"Israel",2036,304330
"Israel",2037,308026
"Israel",2038,311723
"Israel",2039,315419
"Israel",2040,319115
"Israel",2041,322812
"Israel",2042,326508
"Israel",2043,330204
"Israel",2044,333901
"Israel",2045,337597
"Israel",2046,341293
"Israel",2047,344990
"Israel",2048,348686
"Israel",2049,352382
"Israel",2050,356078
"Italy",2015,1885
"Italy",2016,2154
"Italy",2017,2743
"Italy",2018,5839
"Italy",2019,11688
"Italy",2020,33536
"Italy",2021,72942
"Italy",2022,59142
"Italy",2023,79159
"Italy",2024,442698
"Italy",2025,802639
"Italy",2026,1063884
"Italy",2027,1337427
"Italy",2028,1622319
"Italy",2029,1916080
"Italy",2030,2232230
"Italy",2031,2285570
"Italy",2032,2339215
"Italy",2033,2394109
"Italy",2034,2440117
"Italy",2035,2486128
"Italy",2036,2532151
"Italy",2037,2578173
"Italy",2038,2624226
"Italy",2039,2670203
"Italy",2040,2716179
"Italy",2041,2762156
"Italy",2042,2808133
"Italy",2043,2854108
"Italy",2044,2900085
"Italy",2045,2946062
"Italy",2046,2992037
"Italy",2047,3038014
"Italy",2048,3083989
"Italy",2049,3129966
"Italy",2050,3175943
"Japan",2015,12667
"Japan",2016,16717
"Japan",2017,19066
"Japan",2018,27376
"Japan",2019,23648
"Japan",2020,16418
"Japan",2021,20248
"Japan",2022,56432
"Japan",2023,92105
"Japan",2024,145007
"Japan",2025,230533
"Japan",2026,366033
"Japan",2027,581236
"Japan",2028,923358
"Japan",2029,1466359
"Japan",2030,2328309
"Japan",2031,2557030
"Japan",2032,2784674
"Japan",2033,3010852
"Japan",2034,3236345
"Japan",2035,3460374
"Japan",2036,3532956
"Japan",2037,3605164
"Japan",2038,3676997
"Japan",2039,3748839
"Japan",2040,3820305
"Japan",2041,3811337
"Japan",2042,3802369
"Japan",2043,3793400
"Japan",2044,3784432
"Japan",2045,3775464
"Japan",2046,3766496
"Japan",2047,3757528
"Japan",2048,3748559
"Japan",2049,3739591
"Japan",2050,3730623
"Kenya",2015,0
"Kenya",2016,0
"Kenya",2017,0
"Kenya",2018,0
"Kenya",2019,0
"Kenya",2020,0
"Kenya",2021,15
"Kenya",2022,61
"Kenya",2023,49
"Kenya",2024,2820
"Kenya",2025,3420
"Kenya",2026,4330
"Kenya",2027,5823
"Kenya",2028,7973
"Kenya",2029,14785
"Kenya",2030,30634
"Kenya",2031,41469
"Kenya",2032,54915
"Kenya",2033,71110
"Kenya",2034,83178
"Kenya",2035,96407
"Kenya",2036,113577
"Kenya",2037,133815
"Kenya",2038,159842
"Kenya",2039,179756
"Kenya",2040,200985
"Kenya",2041,213348
"Kenya",2042,226356
"Kenya",2043,240067
"Kenya",2044,250590
"Kenya",2045,261324
"Kenya",2046,272285
"Kenya",2047,283496
"Kenya",2048,294963
"Kenya",2049,303909
"Kenya",2050,312854
"Malaysia",2015,37
"Malaysia",2016,110
"Malaysia",2017,145
"Malaysia",2018,62
"Malaysia",2019,45
"Malaysia",2020,87
"Malaysia",2021,288
"Malaysia",2022,1393
"Malaysia",2023,9226
"Malaysia",2024,48490
"Malaysia",2025,90059
"Malaysia",2026,159780
"Malaysia",2027,189424
"Malaysia",2028,273640
"Malaysia",2029,368702
"Malaysia",2030,477411
"Malaysia",2031,517492
"Malaysia",2032,559240
"Malaysia",2033,602561
"Malaysia",2034,647561
"Malaysia",2035,694141
"Malaysia",2036,743427
"Malaysia",2037,798988
"Malaysia",2038,855851
"Malaysia",2039,967724
"Malaysia",2040,1247168
"Malaysia",2041,1278724
"Malaysia",2042,1310281
"Malaysia",2043,1341837
"Malaysia",2044,1373394
"Malaysia",2045,1404951
"Malaysia",2046,1436507
"Malaysia",2047,1468064
"Malaysia",2048,1499620
"Malaysia",2049,1531177
"Malaysia",2050,1562733
"Mexico",2015,214
"Mexico",2016,153
"Mexico",2017,363
"Mexico",2018,303
"Mexico",2019,950
"Mexico",2020,1906
"Mexico",2021,3546
"Mexico",2022,7595
"Mexico",2023,15995
"Mexico",2024,10136
"Mexico",2025,21130
"Mexico",2026,35915
"Mexico",2027,62946
"Mexico",2028,109538
"Mexico",2029,186509
"Mexico",2030,317993
"Mexico",2031,412151
"Mexico",2032,514567
"Mexico",2033,624689
"Mexico",2034,742688
"Mexico",2035,869491
"Mexico",2036,1004106
"Mexico",2037,1146639
"Mexico",2038,1298537
"Mexico",2039,1457048
"Mexico",2040,1623858
"Mexico",2041,1684649
"Mexico",2042,1746043
"Mexico",2043,1808879
"Mexico",2044,1872288
"Mexico",2045,1941016
"Mexico",2046,2000175
"Mexico",2047,2059333
"Mexico",2048,2118491
"Mexico",2049,2177651
"Mexico",2050,2236809
"Morocco",2015,25
"Morocco",2016,2
"Morocco",2017,8
"Morocco",2018,5
"Morocco",2019,12
"Morocco",2020,48
"Morocco",2021,257
"Morocco",2022,901
"Morocco",2023,795
"Morocco",2024,4641
"Morocco",2025,6338
"Morocco",2026,7647
"Morocco",2027,10711
"Morocco",2028,13718
"Morocco",2029,17451
"Morocco",2030,26604
"Morocco",2031,32150
"Morocco",2032,39063
"Morocco",2033,46451
"Morocco",2034,54293
"Morocco",2035,62454
"Morocco",2036,71845
"Morocco",2037,81469
"Morocco",2038,91535
"Morocco",2039,102244
"Morocco",2040,114144
"Morocco",2041,117868
"Morocco",2042,121592
"Morocco",2043,125316
"Morocco",2044,129040
"Morocco",2045,132765
"Morocco",2046,136488
"Morocco",2047,140210
"Morocco",2048,143932
"Morocco",2049,147654
"Morocco",2050,151376
"Netherlands",2015,4128
"Netherlands",2016,4340
"Netherlands",2017,8572
"Netherlands",2018,24961
"Netherlands",2019,62891
"Netherlands",2020,74996
"Netherlands",2021,67505
"Netherlands",2022,77828
"Netherlands",2023,122743
"Netherlands",2024,196697
"Netherlands",2025,264371
"Netherlands",2026,301080
"Netherlands",2027,377129
"Netherlands",2028,397065
"Netherlands",2029,414858
"Netherlands",2030,470517
"Netherlands",2031,486814
"Netherlands",2032,503463
